Accession,Description,Norm Avg Ratio
Q10713,Mitochondrial-processing peptidase subunit alpha,0.839212467
Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C,0.839158087
O43684,Mitotic checkpoint protein BUB3,0.839095587
P12429,Annexin A3,0.838768081
Q9NUP9,Protein lin-7 homolog C,0.837120115
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,0.834864155
Q9UHQ9,NADH-cytochrome b5 reductase 1,0.834783009
P63208,S-phase kinase-associated protein 1,0.834758933
Q9UGV2,Protein NDRG3,0.833026093
Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,0.831776973
Q9ULA0,Aspartyl aminopeptidase,0.831153798
Q9NVX2,Notchless protein homolog 1,0.82862003
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,0.82483966
Q9NVA2,Septin-11,0.824723904
P06454,Prothymosin alpha,0.824373928
P53999,Activated RNA polymerase II transcriptional coactivator p15,0.823862773
P49005,DNA polymerase delta subunit 2,0.823023911
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",0.823021294
Q8N8A6,ATP-dependent RNA helicase DDX51,0.821579303
Q9UMY4,Sorting nexin-12,0.821452768
Q14257,Reticulocalbin-2,0.81984958
P49916,DNA ligase 3,0.819755836
Q8N7H5,RNA polymerase II-associated factor 1 homolog,0.813001404
P06132,Uroporphyrinogen decarboxylase,0.812997836
P51532,Transcription activator BRG1,0.812853074
P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",0.811070536
Q9BV57,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.810688484
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",0.810450768
P57740,Nuclear pore complex protein Nup107,0.809854827
P52294,Importin subunit alpha-1,0.809659265
Q7Z4H8,KDEL motif-containing protein 2,0.809291265
Q9H910,Hematological and neurological expressed 1-like protein,0.805741083
P62995,Transformer-2 protein homolog beta,0.804682332
P53985,Monocarboxylate transporter 1,0.803638987
Q8NBF2,NHL repeat-containing protein 2,0.803110094
Q9UN86,Ras GTPase-activating protein-binding protein 2,0.802762432
P62857,40S ribosomal protein S28,0.802298077
Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.801872002
Q02750,Dual specificity mitogen-activated protein kinase kinase 1,0.801343129
P27105,Erythrocyte band 7 integral membrane protein,0.800047075
Q16740,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.797554881
P11717,Cation-independent mannose-6-phosphate receptor,0.792552212
P10586,Receptor-type tyrosine-protein phosphatase F,0.79170428
P14735,Insulin-degrading enzyme,0.790675242
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.790578618
O75976,Carboxypeptidase D,0.789820087
Q13112,Chromatin assembly factor 1 subunit B,0.788167331
Q9NX40,OCIA domain-containing protein 1,0.788006854
O43583,Density-regulated protein,0.787625108
Q7Z4S6,Kinesin-like protein KIF21A,0.786537315
Q15050,Ribosome biogenesis regulatory protein homolog,0.786212122
Q96FQ6,Protein S100-A16,0.785729523
Q99685,Monoglyceride lipase,0.785157583
Q9NV70,Exocyst complex component 1,0.779774739
O75396,Vesicle-trafficking protein SEC22b,0.777960606
P05091,"Aldehyde dehydrogenase, mitochondrial",0.777727669
Q96EK5,KIF1-binding protein,0.776514946
P51648,Fatty aldehyde dehydrogenase,0.771165177
O43615,Mitochondrial import inner membrane translocase subunit TIM44,0.769240085
Q9NRR5,Ubiquilin-4,0.768266029
P09923,Intestinal-type alkaline phosphatase,0.767524647
Q09028,Histone-binding protein RBBP4,0.767088909
Q15758,Neutral amino acid transporter B(0),0.76695296
Q9BY42,UPF0549 protein C20orf43,0.766718005
Q9NUQ7,Ufm1-specific protease 2,0.766183135
Q9NQ55,Suppressor of SWI4 1 homolog,0.765587027
Q06210,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,0.765013174
Q9H074,Polyadenylate-binding protein-interacting protein 1,0.764938074
Q86X55,Histone-arginine methyltransferase CARM1,0.763408548
Q9NPF0,CD320 antigen,0.760365144
Q8TF05,Serine/threonine-protein phosphatase 4 regulatory subunit 1,0.755398123
Q13617,Cullin-2,0.753189389
P49406,"39S ribosomal protein L19, mitochondrial",0.75264386
P49407,Beta-arrestin-1,0.751598157
O00499,Myc box-dependent-interacting protein 1,0.751498703
Q8IYB8,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",0.751175301
Q9NY12,H/ACA ribonucleoprotein complex subunit 1,0.750089036
P28288,ATP-binding cassette sub-family D member 3,0.743343035
O14841,5-oxoprolinase,0.740357512
Q68CQ7,Glycosyltransferase 8 domain-containing protein 1,0.73932063
Q6FI81,Anamorsin,0.735436202
P08195,4F2 cell-surface antigen heavy chain,0.734202585
Q9UH65,Switch-associated protein 70,0.730662402
Q9NV06,DDB1- and CUL4-associated factor 13,0.726014385
Q13268,Dehydrogenase/reductase SDR family member 2,0.725362503
Q5JSH3,WD repeat-containing protein 44,0.724819566
O95777,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",0.724138607
Q9Y446,Plakophilin-3,0.722320865
Q9Y2V2,Calcium-regulated heat stable protein 1,0.717151195
Q9NUJ3,T-complex protein 11-like protein 1,0.715318231
Q9UJU6,Drebrin-like protein,0.715094519
Q9H2H9,Sodium-coupled neutral amino acid transporter 1,0.711416088
Q16186,Proteasomal ubiquitin receptor ADRM1,0.708020166
P30049,"ATP synthase subunit delta, mitochondrial",0.702337345
Q8NI60,"Chaperone activity of bc1 complex-like, mitochondrial",0.694920524
Q86TU7,Histone-lysine N-methyltransferase setd3,0.694137143
Q5R3I4,Tetratricopeptide repeat protein 38,0.691361512
O15439,Multidrug resistance-associated protein 4,0.689882966
Q07866,Kinesin light chain 1,0.688801735
P29353,SHC-transforming protein 1,0.679745589
Q9HCS7,Pre-mRNA-splicing factor SYF1,0.662051558
Q9Y5M8,Signal recognition particle receptor subunit beta,0.651389599
P84077,ADP-ribosylation factor 1,0.646030344
O43670,Zinc finger protein 207,0.645073407
Q9ULF5,Zinc transporter ZIP10,0.643843545
O60293,Zinc finger C3H1 domain-containing protein,0.641203501
Q8IWE2,Protein NOXP20,0.638903958
Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",0.631685763
Q16539,Mitogen-activated protein kinase 14,0.626742734
O43148,mRNA cap guanine-N7 methyltransferase,0.625565338
Q9H8H3,Methyltransferase-like protein 7A,0.621541965
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23,0.594404588
Q13595,Transformer-2 protein homolog alpha,0.564093076
Q53HC9,Protein TSSC1,0.396605618
Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1,0.388708328
Q96I24,Far upstream element-binding protein 3,0.324370208
